sampleID	block	plot	year	Warm	comtreatment	richness	Faith.pd	Nitro.richness	Nitro.Faith.pd
X09_3S_N_C_1	B1	N03	2009	0	N	59	5.15391	37	1.36637
X09_1S_H_C_1	B1	N01	2009	1	W	81	6.66083	36	1.30088
X09_23S_N_C_1	B4	N23	2009	0	N	45	3.72488	30	0.91792
X09_10S_H_C_1	B2	N10	2009	1	W	51	5.18815	32	1.17421
X09_19S_N_C_1	B3	N19	2009	0	N	69	6.48547	35	1.30695
X09_20S_H_C_1	B3	N20	2009	1	W	63	5.7508	31	0.99562
X09_6S_N_C_1	B2	N06	2009	0	N	61	5.08863	35	1.28205
X09_16S_H_C_1	B4	N16	2009	1	W	68	5.74218	37	1.34951
X10_6N_N_N_1	B2	N06	2010	0	N	67	5.60892	33	1.24368
X10_23N_N_N_1	B4	N23	2010	0	N	75	6.91067	31	1.22479
X10_16N_H_N_1	B4	N16	2010	1	W	69	4.83364	39	1.39793
X10_1N_H_N_1	B1	N01	2010	1	W	58	4.44659	34	1.04151
X10_20N_H_N_1	B3	N20	2010	1	W	65	5.35957	39	1.39378
X10_3N_N_N_1	B1	N03	2010	0	N	74	5.78041	39	1.39268
X10_19N_N_N_1	B3	N19	2010	0	N	86	7.3621	36	1.46184
X10_10N_H_N_1	B2	N10	2010	1	W	64	5.19257	36	1.11284
X11_20N_H_N_1	B3	N20	2011	1	W	48	3.57571	31	1.04165
X11_23N_N_N_1	B4	N23	2011	0	N	45	3.73438	33	0.96603
X11_10N_H_N_1	B2	N10	2011	1	W	59	3.95818	37	1.1211
X11_19N_N_N_1	B3	N19	2011	0	N	55	4.86572	39	1.15604
X11_3N_N_N_1	B1	N03	2011	0	N	66	4.4508	39	1.1898
X11_16N_H_N_1	B4	N16	2011	1	W	48	4.07597	35	1.01316
X11_6N_N_N_1	B2	N06	2011	0	N	47	4.17602	36	1.34998
X11_1N_H_N_1	B1	N01	2011	1	W	50	4.49189	35	1.08817
X12_10N_H_N_1	B2	N10	2012	1	W	67	6.44345	33	0.99233
X12_19N_N_N_1	B3	N19	2012	0	N	67	6.53866	33	1.25543
X12_23N_N_N_1	B4	N23	2012	0	N	54	5.07969	33	1.0161
X12_6N_N_N_1	B2	N06	2012	0	N	47	5.19918	27	0.89431
X12_1N_H_N_1	B1	N01	2012	1	W	59	4.81026	32	1.17478
X12_3N_N_N_1	B1	N03	2012	0	N	64	4.95564	33	0.96907
X12_20N_H_N_1	B3	N20	2012	1	W	53	4.24151	32	1.03575
X12_16N_H_N_1	B4	N16	2012	1	W	49	4.84946	30	0.92953
X13_10N_H_N_1	B2	N10	2013	1	W	71	5.39385	40	1.20527
X13_6N_N_N_1	B2	N06	2013	0	N	58	4.1972	38	1.35106
X13_16N_H_N_1	B4	N16	2013	1	W	67	5.38379	36	1.33811
X13_1N_H_N_1	B1	N01	2013	1	W	57	5.18109	37	1.30121
X13_20N_H_N_1	B3	N20	2013	1	W	39	3.09232	29	0.90389
X13_3N_N_N_1	B1	N03	2013	0	N	69	5.76558	37	1.38765
X13_19N_N_N_1	B3	N19	2013	0	N	55	3.90093	36	1.12895
X13_23N_N_N_1	B4	N23	2013	0	N	47	3.71102	38	1.17855
X14_1N_H_N_1	B1	N01	2014	1	W	46	3.37994	36	1.32464
X14_3N_N_N_1	B1	N03	2014	0	N	54	4.19419	39	1.20896
X14_6N_N_N_1	B2	N06	2014	0	N	69	5.98602	36	1.14645
X14_10N_H_N_1	B2	N10	2014	1	W	45	2.92282	38	1.37681
X14_16N_H_N_1	B4	N16	2014	1	W	56	4.46716	40	1.43871
X14_19N_N_N_1	B3	N19	2014	0	N	58	5.16395	34	1.08963
X14_20N_H_N_1	B3	N20	2014	1	W	49	3.95058	33	0.97829
X14_23N_N_N_1	B4	N23	2014	0	N	43	3.52286	35	1.32098
X15_1N_H_N_1	B1	N01	2015	1	W	62	5.2238	35	1.32009
X15_3N_N_N_1	B1	N03	2015	0	N	70	5.88177	39	1.42562
X15_6N_N_N_1	B2	N06	2015	0	N	82	6.66462	43	1.52556
X15_10N_H_N_1	B2	N10	2015	1	W	54	4.87301	37	1.357
X15_16N_H_N_1	B4	N16	2015	1	W	44	3.59357	36	1.07611
X15_19N_N_N_1	B3	N19	2015	0	N	47	4.10958	28	0.93601
X15_20N_H_N_1	B3	N20	2015	1	W	49	4.54281	30	1.185
X15_23N_N_N_1	B4	N23	2015	0	N	54	4.99561	38	1.42245
X16_1N_H_N_1	B1	N01	2016	1	W	49	4.52244	36	1.33915
X16_3N_N_N_1	B1	N03	2016	0	N	68	5.71177	37	1.36096
X16_6N_N_N_1	B2	N06	2016	0	N	70	5.33141	39	1.45577
X16_10N_H_N_1	B2	N10	2016	1	W	55	4.90869	36	1.32785
X16_16N_H_N_1	B4	N16	2016	1	W	66	5.76505	32	1.26875
X16_19N_N_N_1	B3	N19	2016	0	N	59	5.39391	33	1.21702
X16_20N_H_N_1	B3	N20	2016	1	W	62	4.75063	37	1.36524
X16_23N_N_N_1	B4	N23	2016	0	N	55	3.90848	40	1.44881
