	X09_3S_N_C_1	X09_1S_H_C_1	X09_23S_N_C_1	X09_10S_H_C_1	X09_19S_N_C_1	X09_20S_H_C_1	X09_6S_N_C_1	X09_16S_H_C_1	X10_6N_N_N_1	X10_23N_N_N_1	X10_16N_H_N_1	X10_1N_H_N_1	X10_20N_H_N_1	X10_3N_N_N_1	X10_19N_N_N_1	X10_10N_H_N_1	X11_20N_H_N_1	X11_23N_N_N_1	X11_10N_H_N_1	X11_19N_N_N_1	X11_3N_N_N_1	X11_16N_H_N_1	X11_6N_N_N_1	X11_1N_H_N_1	X12_10N_H_N_1	X12_19N_N_N_1	X12_23N_N_N_1	X12_6N_N_N_1	X12_1N_H_N_1	X12_3N_N_N_1	X12_20N_H_N_1	X12_16N_H_N_1	X13_10N_H_N_1	X13_6N_N_N_1	X13_16N_H_N_1	X13_1N_H_N_1	X13_20N_H_N_1	X13_3N_N_N_1	X13_19N_N_N_1	X13_23N_N_N_1	X14_1N_H_N_1	X14_3N_N_N_1	X14_6N_N_N_1	X14_10N_H_N_1	X14_16N_H_N_1	X14_19N_N_N_1	X14_20N_H_N_1	X14_23N_N_N_1	X15_1N_H_N_1	X15_3N_N_N_1	X15_6N_N_N_1	X15_10N_H_N_1	X15_16N_H_N_1	X15_19N_N_N_1	X15_20N_H_N_1	X15_23N_N_N_1	X16_1N_H_N_1	X16_3N_N_N_1	X16_6N_N_N_1	X16_10N_H_N_1	X16_16N_H_N_1	X16_19N_N_N_1	X16_20N_H_N_1	X16_23N_N_N_1
X09_3S_N_C_1	0	0.328571429	0.365384615	0.363636364	0.34375	0.360655738	0.316666667	0.307086614	0.333333333	0.447761194	0.265625	0.299145299	0.322580645	0.263157895	0.489655172	0.268292683	0.289719626	0.403846154	0.355932203	0.403508772	0.28	0.364485981	0.264150943	0.339449541	0.396825397	0.380952381	0.433628319	0.433962264	0.355932203	0.349593496	0.339285714	0.388888889	0.292307692	0.282051282	0.317460317	0.293103448	0.387755102	0.296875	0.263157895	0.245283019	0.257142857	0.309734513	0.34375	0.269230769	0.286956522	0.333333333	0.351851852	0.254901961	0.32231405	0.240310078	0.361702128	0.274336283	0.339805825	0.358490566	0.388888889	0.292035398	0.259259259	0.244094488	0.286821705	0.263157895	0.36	0.305084746	0.305785124	0.280701754
X09_1S_H_C_1	0.328571429	0	0.444444444	0.409090909	0.36	0.375	0.366197183	0.302013423	0.378378378	0.423076923	0.373333333	0.352517986	0.369863014	0.290322581	0.497005988	0.365517241	0.457364341	0.492063492	0.4	0.485294118	0.292517007	0.488372093	0.421875	0.435114504	0.5	0.432432432	0.481481481	0.53125	0.442857143	0.393103448	0.432835821	0.492307692	0.368421053	0.294964029	0.324324324	0.376811594	0.516666667	0.32	0.367647059	0.4375	0.401574803	0.407407407	0.4	0.365079365	0.386861314	0.45323741	0.492307692	0.403225806	0.412587413	0.324503311	0.337423313	0.333333333	0.456	0.453125	0.523076923	0.407407407	0.369230769	0.315436242	0.337748344	0.352941176	0.387755102	0.4	0.356643357	0.367647059
X09_23S_N_C_1	0.365384615	0.444444444	0	0.354166667	0.421052632	0.425925926	0.358490566	0.398230088	0.428571429	0.5	0.333333333	0.378640777	0.363636364	0.428571429	0.496183206	0.394495413	0.35483871	0.4	0.403846154	0.44	0.369369369	0.419354839	0.326086957	0.305263158	0.464285714	0.464285714	0.393939394	0.391304348	0.403846154	0.357798165	0.367346939	0.361702128	0.413793103	0.398058252	0.375	0.294117647	0.380952381	0.421052632	0.34	0.326086957	0.318681319	0.353535354	0.49122807	0.288888889	0.366336634	0.378640777	0.404255319	0.318181818	0.401869159	0.408695652	0.448818898	0.333333333	0.325842697	0.456521739	0.446808511	0.373737374	0.319148936	0.380530973	0.443478261	0.4	0.423423423	0.384615385	0.420560748	0.34
X09_10S_H_C_1	0.363636364	0.409090909	0.354166667	0	0.466666667	0.385964912	0.357142857	0.327731092	0.440677966	0.46031746	0.4	0.412844037	0.431034483	0.376	0.518248175	0.391304348	0.414141414	0.4375	0.436363636	0.396226415	0.367521368	0.434343434	0.346938776	0.405940594	0.457627119	0.423728814	0.485714286	0.510204082	0.436363636	0.408695652	0.423076923	0.42	0.360655738	0.321100917	0.355932203	0.37037037	0.466666667	0.416666667	0.339622642	0.367346939	0.360824742	0.333333333	0.433333333	0.291666667	0.345794393	0.321100917	0.4	0.340425532	0.380530973	0.388429752	0.368421053	0.352380952	0.368421053	0.448979592	0.46	0.314285714	0.32	0.361344538	0.438016529	0.339622642	0.384615385	0.345454545	0.415929204	0.339622642
X09_19S_N_C_1	0.34375	0.36	0.421052632	0.466666667	0	0.393939394	0.338461538	0.357664234	0.455882353	0.430555556	0.275362319	0.37007874	0.343283582	0.384615385	0.470967742	0.368421053	0.401709402	0.403508772	0.421875	0.467741935	0.407407407	0.418803419	0.344827586	0.31092437	0.455882353	0.382352941	0.463414634	0.517241379	0.453125	0.383458647	0.37704918	0.406779661	0.385714286	0.338582677	0.308823529	0.396825397	0.481481481	0.420289855	0.387096774	0.344827586	0.408695652	0.382113821	0.405797101	0.403508772	0.328	0.385826772	0.440677966	0.339285714	0.404580153	0.338129496	0.417218543	0.365853659	0.433628319	0.396551724	0.440677966	0.349593496	0.355932203	0.372262774	0.381294964	0.338709677	0.377777778	0.34375	0.404580153	0.370967742
X09_20S_H_C_1	0.360655738	0.375	0.425925926	0.385964912	0.393939394	0	0.387096774	0.312977099	0.384615385	0.362318841	0.348484848	0.338842975	0.34375	0.328467153	0.382550336	0.338582677	0.369369369	0.444444444	0.37704918	0.389830508	0.302325581	0.423423423	0.363636364	0.327433628	0.4	0.353846154	0.452991453	0.381818182	0.360655738	0.385826772	0.344827586	0.357142857	0.388059701	0.355371901	0.338461538	0.35	0.392156863	0.378787879	0.288135593	0.363636364	0.394495413	0.316239316	0.363636364	0.37037037	0.327731092	0.305785124	0.357142857	0.358490566	0.376	0.308270677	0.406896552	0.367521368	0.38317757	0.418181818	0.375	0.316239316	0.357142857	0.328244275	0.338345865	0.372881356	0.317829457	0.327868852	0.36	0.355932203
X09_6S_N_C_1	0.316666667	0.366197183	0.358490566	0.357142857	0.338461538	0.387096774	0	0.317829457	0.4375	0.441176471	0.276923077	0.361344538	0.349206349	0.318518519	0.482993197	0.312	0.376146789	0.377358491	0.383333333	0.431034483	0.354330709	0.449541284	0.333333333	0.351351351	0.453125	0.390625	0.443478261	0.481481481	0.366666667	0.344	0.263157895	0.472727273	0.333333333	0.277310924	0.296875	0.322033898	0.46	0.307692308	0.293103448	0.388888889	0.364485981	0.339130435	0.446153846	0.339622642	0.35042735	0.361344538	0.436363636	0.384615385	0.398373984	0.328244275	0.370629371	0.304347826	0.371428571	0.407407407	0.454545455	0.32173913	0.327272727	0.317829457	0.374045802	0.293103448	0.417322835	0.316666667	0.365853659	0.310344828
X09_16S_H_C_1	0.307086614	0.302013423	0.398230088	0.327731092	0.357664234	0.312977099	0.317829457	0	0.362962963	0.356643357	0.299270073	0.301587302	0.338345865	0.253521127	0.428571429	0.333333333	0.396551724	0.398230088	0.338582677	0.382113821	0.298507463	0.413793103	0.32173913	0.355932203	0.362962963	0.348148148	0.409836066	0.426086957	0.37007874	0.363636364	0.338842975	0.418803419	0.323741007	0.285714286	0.303703704	0.344	0.476635514	0.284671533	0.284552846	0.373913043	0.333333333	0.327868852	0.357664234	0.309734513	0.290322581	0.317460317	0.418803419	0.333333333	0.384615385	0.304347826	0.32	0.327868852	0.357142857	0.408695652	0.418803419	0.278688525	0.333333333	0.279411765	0.304347826	0.268292683	0.358208955	0.307086614	0.338461538	0.300813008
X10_6N_N_N_1	0.333333333	0.378378378	0.428571429	0.440677966	0.455882353	0.384615385	0.4375	0.362962963	0	0.366197183	0.367647059	0.36	0.378787879	0.319148936	0.450980392	0.358778626	0.356521739	0.482142857	0.46031746	0.459016393	0.323308271	0.47826087	0.385964912	0.418803419	0.417910448	0.402985075	0.504132231	0.49122807	0.380952381	0.34351145	0.333333333	0.465517241	0.333333333	0.36	0.373134328	0.403225806	0.433962264	0.352941176	0.344262295	0.385964912	0.345132743	0.421487603	0.367647059	0.339285714	0.365853659	0.36	0.379310345	0.345454545	0.333333333	0.372262774	0.395973154	0.371900826	0.423423423	0.368421053	0.362068966	0.388429752	0.344827586	0.348148148	0.255474453	0.37704918	0.398496241	0.365079365	0.317829457	0.31147541
X10_23N_N_N_1	0.447761194	0.423076923	0.5	0.46031746	0.430555556	0.362318841	0.441176471	0.356643357	0.366197183	0	0.402777778	0.443609023	0.4	0.382550336	0.403726708	0.395683453	0.463414634	0.5	0.492537313	0.507692308	0.432624113	0.512195122	0.459016393	0.424	0.492957746	0.408450704	0.565891473	0.540983607	0.388059701	0.410071942	0.40625	0.5	0.397260274	0.428571429	0.394366197	0.515151515	0.50877193	0.402777778	0.446153846	0.491803279	0.438016529	0.472868217	0.444444444	0.483333333	0.389312977	0.428571429	0.483870968	0.474576271	0.445255474	0.420689655	0.426751592	0.441860465	0.512605042	0.442622951	0.483870968	0.441860465	0.467741935	0.398601399	0.365517241	0.476923077	0.333333333	0.388059701	0.401459854	0.384615385
