	X09_3S_N_C_1	X09_1S_H_C_1	X09_23S_N_C_1	X09_10S_H_C_1	X09_19S_N_C_1	X09_20S_H_C_1	X09_6S_N_C_1	X09_16S_H_C_1	X10_6N_N_N_1	X10_23N_N_N_1	X10_16N_H_N_1	X10_1N_H_N_1	X10_20N_H_N_1	X10_3N_N_N_1	X10_19N_N_N_1	X10_10N_H_N_1	X11_20N_H_N_1	X11_23N_N_N_1	X11_10N_H_N_1	X11_19N_N_N_1	X11_3N_N_N_1	X11_16N_H_N_1	X11_6N_N_N_1	X11_1N_H_N_1	X12_10N_H_N_1	X12_19N_N_N_1	X12_23N_N_N_1	X12_6N_N_N_1	X12_1N_H_N_1	X12_3N_N_N_1	X12_20N_H_N_1	X12_16N_H_N_1	X13_10N_H_N_1	X13_6N_N_N_1	X13_16N_H_N_1	X13_1N_H_N_1	X13_20N_H_N_1	X13_3N_N_N_1	X13_19N_N_N_1	X13_23N_N_N_1	X14_1N_H_N_1	X14_3N_N_N_1	X14_6N_N_N_1	X14_10N_H_N_1	X14_16N_H_N_1	X14_19N_N_N_1	X14_20N_H_N_1	X14_23N_N_N_1	X15_1N_H_N_1	X15_3N_N_N_1	X15_6N_N_N_1	X15_10N_H_N_1	X15_16N_H_N_1	X15_19N_N_N_1	X15_20N_H_N_1	X15_23N_N_N_1	X16_1N_H_N_1	X16_3N_N_N_1	X16_6N_N_N_1	X16_10N_H_N_1	X16_16N_H_N_1	X16_19N_N_N_1	X16_20N_H_N_1	X16_23N_N_N_1
X09_3S_N_C_1	0	0.418118598	0.427887203	0.478632277	0.414227481	0.455989941	0.386078971	0.394124513	0.401428533	0.45936227	0.3756727	0.45390875	0.405318497	0.342091657	0.520620403	0.342502599	0.470191979	0.501561104	0.490673641	0.515463016	0.440191178	0.493803791	0.387585525	0.434227592	0.478875161	0.462464907	0.524435575	0.51187557	0.317190073	0.46099335	0.408478475	0.466100746	0.36819738	0.37951991	0.409735029	0.376199978	0.488981933	0.400034873	0.467577393	0.373252127	0.434512148	0.489435209	0.45567239	0.514406787	0.335368618	0.461905635	0.450260007	0.364151399	0.374189657	0.35298437	0.451766934	0.374965156	0.369768478	0.435070606	0.433440714	0.357398449	0.36140153	0.400838312	0.369910888	0.304860895	0.388433399	0.423576218	0.376845083	0.373913761
X09_1S_H_C_1	0.418118598	0	0.532343469	0.455223034	0.396223538	0.474206286	0.439609446	0.382822177	0.427509532	0.42607669	0.49669244	0.50419824	0.434849864	0.425771251	0.52680817	0.416675572	0.565402748	0.530099476	0.505787447	0.593644004	0.502546376	0.535932169	0.523433008	0.45482469	0.501837222	0.433149894	0.598533419	0.486359378	0.445948674	0.492567605	0.516236241	0.557376371	0.49006586	0.412821641	0.397123914	0.41789625	0.595887206	0.299620143	0.516225378	0.530926484	0.561807457	0.543761529	0.462779671	0.61886035	0.466819875	0.513165489	0.574825167	0.515549019	0.46466091	0.44459491	0.420949413	0.378748861	0.531203896	0.509391033	0.558283061	0.462553863	0.42264771	0.428546934	0.447296937	0.399116641	0.446460118	0.51418549	0.412866239	0.491087987
X09_23S_N_C_1	0.427887203	0.532343469	0	0.527762315	0.538827782	0.504868493	0.508621507	0.48620532	0.500941148	0.55714809	0.333196357	0.378869579	0.478759959	0.489154191	0.568507627	0.41956437	0.393706037	0.510319954	0.403884826	0.580507214	0.372895388	0.55212434	0.478454286	0.419234817	0.574382622	0.542806274	0.560062474	0.506030914	0.416471396	0.374684037	0.423311912	0.493962212	0.517270031	0.399279056	0.485140232	0.421324773	0.355835323	0.520820507	0.399969367	0.401545165	0.399555784	0.398068151	0.539296942	0.484440617	0.443610608	0.525999061	0.475500224	0.451526203	0.447738307	0.495085783	0.526182444	0.457049693	0.392715174	0.485699651	0.50432456	0.442816914	0.415406105	0.537091841	0.495807796	0.425447595	0.505976924	0.510461638	0.478397234	0.327030131
X09_10S_H_C_1	0.478632277	0.455223034	0.527762315	0	0.490702013	0.431826653	0.43211988	0.412887891	0.480830761	0.467702736	0.532951461	0.521238111	0.434910088	0.476569846	0.543833228	0.502352356	0.545175963	0.512495165	0.511746463	0.490235358	0.537880454	0.497179815	0.493811453	0.443933617	0.449196506	0.454153106	0.606511012	0.524275445	0.447692905	0.48095236	0.506343911	0.478661328	0.446279778	0.418283856	0.41873537	0.427993172	0.581836897	0.416608243	0.48745744	0.457656112	0.499151315	0.494883399	0.454973833	0.518105088	0.41069565	0.37863363	0.423125303	0.439695212	0.43577983	0.484000405	0.439396234	0.349961378	0.501059977	0.464048303	0.502189543	0.419765194	0.331998097	0.454100635	0.434717397	0.397199778	0.407006542	0.419085011	0.44966244	0.466215578
X09_19S_N_C_1	0.414227481	0.396223538	0.538827782	0.490702013	0	0.467644801	0.362439144	0.365567122	0.532625998	0.475459201	0.434519891	0.494743611	0.397204962	0.493521934	0.456582799	0.444417211	0.533261609	0.528183821	0.533252906	0.583753172	0.575624451	0.511294856	0.467013769	0.415107742	0.448130459	0.43594387	0.586769215	0.510868374	0.460195316	0.508598192	0.491772715	0.521369506	0.47918619	0.46189166	0.400955445	0.441008098	0.610571378	0.491640093	0.497190117	0.499209606	0.563677473	0.503591215	0.475030539	0.62765558	0.429653919	0.459497308	0.569826163	0.488742956	0.458844232	0.449375286	0.456717984	0.419045259	0.521033262	0.481057391	0.478637596	0.378813595	0.416159962	0.469187306	0.461802405	0.37600732	0.432960415	0.492269304	0.489952143	0.500631832
X09_20S_H_C_1	0.455989941	0.474206286	0.504868493	0.431826653	0.467644801	0	0.420506805	0.369348292	0.470559565	0.463516392	0.486802245	0.423396903	0.373320117	0.410205328	0.436811562	0.434850327	0.547005524	0.513490387	0.488881764	0.406262948	0.405005621	0.517087768	0.493116665	0.409364581	0.477167345	0.398080741	0.558364303	0.422386307	0.421179781	0.495022505	0.424661357	0.418213969	0.50770541	0.470759501	0.45613444	0.484372184	0.535167593	0.4574445	0.426986124	0.445076228	0.569493034	0.461730381	0.439568066	0.636251996	0.438339541	0.400973063	0.426347309	0.496675999	0.412836607	0.37211089	0.451546842	0.405338549	0.469676424	0.455809831	0.463034688	0.421590746	0.420109189	0.479416365	0.410747115	0.43295797	0.367921212	0.393288978	0.489131139	0.504354881
X09_6S_N_C_1	0.386078971	0.439609446	0.508621507	0.43211988	0.362439144	0.420506805	0	0.33226933	0.497298732	0.506152521	0.393261338	0.478364874	0.387197856	0.438120693	0.487906389	0.443982335	0.548010631	0.442287185	0.4739802	0.543237429	0.51914745	0.521323558	0.470468106	0.463150499	0.497533037	0.446724804	0.577813583	0.531726595	0.432668436	0.490906468	0.37813417	0.54831505	0.45242099	0.371761129	0.431807632	0.433660591	0.57165679	0.402105458	0.430105724	0.47821162	0.503418684	0.467926173	0.505479631	0.567543229	0.392882851	0.466112611	0.515524309	0.447275088	0.466386686	0.437042314	0.460625167	0.337706981	0.424920586	0.465653133	0.478082449	0.387824238	0.342424551	0.459508687	0.38562374	0.343539314	0.409570407	0.390952838	0.429151646	0.410146172
X09_16S_H_C_1	0.394124513	0.382822177	0.48620532	0.412887891	0.365567122	0.369348292	0.33226933	0	0.45933026	0.41473178	0.384105414	0.427722036	0.367867345	0.353412329	0.416605949	0.412649448	0.528037597	0.461470024	0.431316869	0.493927666	0.485468313	0.521659065	0.433967597	0.437734991	0.432093269	0.39685136	0.572354101	0.467062043	0.364548511	0.463881657	0.415297363	0.494750919	0.444651619	0.386802114	0.396598636	0.400434916	0.552101088	0.373852219	0.401627361	0.46791407	0.489655218	0.439610985	0.416689279	0.561760007	0.357718738	0.409041775	0.4912231	0.421044918	0.413286973	0.397284582	0.410344523	0.362048028	0.455156813	0.432583707	0.436480139	0.343337581	0.341894204	0.444107715	0.334355159	0.31323582	0.354212642	0.400414544	0.412280423	0.417696323
X10_6N_N_N_1	0.401428533	0.427509532	0.500941148	0.480830761	0.532625998	0.470559565	0.497298732	0.45933026	0	0.42597305	0.481296457	0.479883476	0.389658038	0.387536438	0.522905127	0.445000936	0.535557802	0.582707862	0.546214605	0.479971209	0.432073866	0.586789064	0.458268208	0.488613137	0.506273656	0.434025164	0.570225249	0.548164805	0.397818278	0.436367189	0.438962122	0.535911424	0.408290718	0.449012258	0.467019765	0.474146782	0.524428255	0.382546375	0.521820971	0.444205546	0.494711564	0.57714576	0.467548739	0.533051721	0.374225319	0.461009777	0.479815151	0.417443205	0.368386886	0.434293321	0.45914136	0.429190987	0.488384241	0.473316619	0.417639302	0.450939119	0.356499311	0.332527143	0.336736788	0.440655074	0.422411689	0.443569138	0.337222945	0.426610767
X10_23N_N_N_1	0.45936227	0.42607669	0.55714809	0.467702736	0.475459201	0.463516392	0.506152521	0.41473178	0.42597305	0	0.507592094	0.538689676	0.405605092	0.480576015	0.479029709	0.44587973	0.61657986	0.568415178	0.563533685	0.582604258	0.564523037	0.555869707	0.510862265	0.483645668	0.434865364	0.409923282	0.588133613	0.569657706	0.432219611	0.478570925	0.533902305	0.543759782	0.487723102	0.503474599	0.491836299	0.519291715	0.620359068	0.382341118	0.55893561	0.539124467	0.593158425	0.557512525	0.486536694	0.646480129	0.475865727	0.523372418	0.575360775	0.542446827	0.47407576	0.501025881	0.481237673	0.480579933	0.55643173	0.512806845	0.532431106	0.500668676	0.452768831	0.4645317	0.461263485	0.450523534	0.386017273	0.481163563	0.435791433	0.519944022
