OTU	Sample	Abundance	Warming	Domain	Phylum	Class	Order	Family	Genus
OTU1	X10_10N_H_N_1	5617	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X16_19N_N_N_1	5599	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X09_20S_H_C_1	4788	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X09_23S_N_C_1	4762	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X09_16S_H_C_1	4714	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X09_19S_N_C_1	4695	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X12_20N_H_N_1	4683	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X16_3N_N_N_1	4585	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X09_6S_N_C_1	4385	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X11_10N_H_N_1	4355	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X15_3N_N_N_1	4336	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X14_6N_N_N_1	4248	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X11_3N_N_N_1	4209	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X13_16N_H_N_1	4199	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X09_10S_H_C_1	4158	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X15_10N_H_N_1	4157	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X09_3S_N_C_1	4134	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X09_1S_H_C_1	4079	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X13_3N_N_N_1	4057	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X14_23N_N_N_1	4041	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X12_1N_H_N_1	3961	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X11_6N_N_N_1	3910	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X12_3N_N_N_1	3739	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X16_10N_H_N_1	3726	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X11_20N_H_N_1	3566	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X15_6N_N_N_1	3507	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X10_3N_N_N_1	3476	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X13_6N_N_N_1	3468	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X15_19N_N_N_1	3456	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X12_6N_N_N_1	3315	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X12_19N_N_N_1	3252	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X10_1N_H_N_1	3235	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X10_23N_N_N_1	3218	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X11_23N_N_N_1	3161	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X12_23N_N_N_1	3154	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X14_3N_N_N_1	3129	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X16_1N_H_N_1	3105	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X12_10N_H_N_1	3035	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X14_10N_H_N_1	3003	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X15_1N_H_N_1	2915	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X11_1N_H_N_1	2904	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X10_20N_H_N_1	2852	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X10_16N_H_N_1	2831	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X13_10N_H_N_1	2825	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X14_19N_N_N_1	2776	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X15_23N_N_N_1	2729	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X11_16N_H_N_1	2575	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X15_19N_N_N_1	2548	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X14_1N_H_N_1	2519	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X10_19N_N_N_1	2438	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X16_20N_H_N_1	2345	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU4	X13_20N_H_N_1	2318	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X16_6N_N_N_1	2172	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X11_16N_H_N_1	2145	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X14_16N_H_N_1	2119	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X15_16N_H_N_1	2095	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X16_20N_H_N_1	2094	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X11_1N_H_N_1	2094	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X14_20N_H_N_1	2082	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X11_19N_N_N_1	2050	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X16_6N_N_N_1	2049	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU4	X12_16N_H_N_1	2031	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X16_23N_N_N_1	1989	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X13_1N_H_N_1	1971	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X11_23N_N_N_1	1966	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X11_19N_N_N_1	1957	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X13_20N_H_N_1	1946	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU3	X13_23N_N_N_1	1935	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X10_20N_H_N_1	1918	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X13_19N_N_N_1	1913	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X10_6N_N_N_1	1858	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X13_19N_N_N_1	1852	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU3	X14_20N_H_N_1	1711	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X16_16N_H_N_1	1687	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X10_19N_N_N_1	1686	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X13_6N_N_N_1	1672	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU4	X14_1N_H_N_1	1650	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU4	X14_16N_H_N_1	1641	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X12_16N_H_N_1	1641	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X15_6N_N_N_1	1612	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X10_19N_N_N_1	1608	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X12_10N_H_N_1	1593	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X15_20N_H_N_1	1567	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X12_20N_H_N_1	1557	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X14_19N_N_N_1	1553	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU4	X15_16N_H_N_1	1533	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X16_23N_N_N_1	1521	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU3	X13_20N_H_N_1	1511	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU3	X12_23N_N_N_1	1485	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU3	X12_16N_H_N_1	1469	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU6949	X15_20N_H_N_1	1454	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X13_1N_H_N_1	1444	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU4	X14_20N_H_N_1	1427	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU7966	X16_16N_H_N_1	1427	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X09_10S_H_C_1	1424	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X13_23N_N_N_1	1411	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X10_23N_N_N_1	1364	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X11_6N_N_N_1	1332	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X14_23N_N_N_1	1328	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU1	X12_6N_N_N_1	1317	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X12_19N_N_N_1	1307	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU6949	X16_23N_N_N_1	1299	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU4	X13_1N_H_N_1	1293	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU5	X10_16N_H_N_1	1293	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU3	X15_16N_H_N_1	1284	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU4	X10_6N_N_N_1	1248	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU2	X15_23N_N_N_1	1245	0	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU4	X16_20N_H_N_1	1245	1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
