TreatmentGroup	Process	Overall	bin1	bin2	bin3	bin4	bin5	bin6	bin7	bin8
Control	HeS	0.00020186	0	0	0	0.000194559	0	4.87E-06	0	8.98E-07
Control	HoS	0.13891241	0.137754453	0	0.00023483	0.000189301	2.05E-06	0.000303317	8.34E-06	4.58E-05
Control	DL	0.008996879	0	0.005243988	0.000787214	0.002005612	0.000191866	0.000632285	0.000120429	0.000173782
Control	HD	0.002236299	0	0.001877488	1.96E-05	0.000165446	0	0.000127611	6.54E-06	3.98E-06
Control	DR	0.849652553	0	0.841900471	0.000878658	0.005571673	0.000128124	0.000752842	0.00040143	0.000272537
Warming	HeS	2.69E-05	0	0	6.93E-06	0	0	4.23E-06	7.18E-06	8.08E-06
Warming	HoS	1.56E-01	0.154872568	0	0.000154801	9.66E-05	8.59E-06	0.000330507	3.69E-05	3.22E-05
Warming	DL	5.88E-03	0.000588935	0	0.000206871	0.004344168	4.49E-06	0.000669221	4.10E-06	1.58E-05
Warming	HD	3.34E-04	0	0	3.26E-05	0.000178399	0	0.000119147	3.08E-06	3.08E-06
Warming	DR	8.37E-01	0.008795812	0.821700064	0.00079555	0.005479459	0.000114145	0.000725653	0.000382064	0.000278821
Control vs Warming	HeS	9.50E-05	0	0	8.39E-06	7.56E-05	0	1.55E-06	1.30E-06	3.91E-06
Control vs Warming	HoS	1.47E-01	0.146742307	0	0.000166985	0.000155865	3.54E-06	0.000346145	2.21E-05	4.23E-05
Control vs Warming	DL	6.60E-03	0.000236872	0.001734517	0.000490269	0.003256078	9.70E-05	0.000615135	6.99E-05	0.0001007
Control vs Warming	HD	3.52E-04	0	0	2.94E-05	0.000186429	0	0.000130705	3.91E-06	2.55E-06
Control vs Warming	DR	8.46E-01	0.004026705	0.833626488	0.0008635	0.005438621	0.000124058	0.000741305	0.000387767	0.000267996
