sample1	sample2	Heterogeneous.Selection	Homogeneous.Selection	Dispersal.Limitation	Homogenizing.Dispersal	Drift.and.Others
X09_1S_H_C_1	X09_3S_N_C_1	0	0.105025445	0	0	0.894974555
X09_23S_N_C_1	X09_3S_N_C_1	0	0.08110687	0	0.00235369	0.91653944
X09_10S_H_C_1	X09_3S_N_C_1	0	0.000954198	0	0.002290076	0.996755725
X09_19S_N_C_1	X09_3S_N_C_1	0	0.086005089	0.003371501	0	0.91062341
X09_20S_H_C_1	X09_3S_N_C_1	0	0.091666667	0.001145038	0	0.907188295
X09_6S_N_C_1	X09_3S_N_C_1	0	0.086641221	0	0	0.913358779
X09_16S_H_C_1	X09_3S_N_C_1	0	0.084160305	0	0.003689567	0.912150127
X10_6N_N_N_1	X09_3S_N_C_1	0	0.159414758	0	0	0.840585242
X10_23N_N_N_1	X09_3S_N_C_1	0	0.111005089	0	0	0.888994911
X10_16N_H_N_1	X09_3S_N_C_1	0	0.102862595	0.004452926	6.36E-05	0.892620865
X10_1N_H_N_1	X09_3S_N_C_1	0	0.108969466	0	6.36E-05	0.890966921
X10_20N_H_N_1	X09_3S_N_C_1	0	0.112659033	0	0	0.887340967
X10_3N_N_N_1	X09_3S_N_C_1	0	0.092811705	0	0	0.907188295
X10_19N_N_N_1	X09_3S_N_C_1	0	0.093638677	0.007124682	0	0.899236641
X10_10N_H_N_1	X09_3S_N_C_1	0	0.089631043	0	0	0.910368957
X11_20N_H_N_1	X09_3S_N_C_1	0	0.148727735	0	0	0.851272265
X11_23N_N_N_1	X09_3S_N_C_1	0	0.098664122	0	0	0.901335878
X11_10N_H_N_1	X09_3S_N_C_1	0	0.103244275	0	0.002099237	0.894656489
X11_19N_N_N_1	X09_3S_N_C_1	0	0.144465649	0	0	0.855534351
X11_3N_N_N_1	X09_3S_N_C_1	0	0.099618321	0	0	0.900381679
X11_16N_H_N_1	X09_3S_N_C_1	0	0.12716285	0	0	0.87283715
X11_6N_N_N_1	X09_3S_N_C_1	0	0.104452926	0	0.003562341	0.891984733
X11_1N_H_N_1	X09_3S_N_C_1	0	0.136005089	0.003371501	0.002544529	0.85807888
X12_10N_H_N_1	X09_3S_N_C_1	0	0.133651399	0	0.002290076	0.864058524
X12_19N_N_N_1	X09_3S_N_C_1	0	0.125954198	0.019083969	0	0.854961832
X12_23N_N_N_1	X09_3S_N_C_1	0.00178117	0.20019084	0.000699746	0	0.797328244
X12_6N_N_N_1	X09_3S_N_C_1	0	0.128053435	0.003435115	0.001844784	0.866666667
X12_1N_H_N_1	X09_3S_N_C_1	0	0.142748092	0.01692112	0	0.840330789
X12_3N_N_N_1	X09_3S_N_C_1	0	0.100127226	0.012849873	6.36E-05	0.886959288
X12_20N_H_N_1	X09_3S_N_C_1	0	0.073282443	0	0	0.926717557
X12_16N_H_N_1	X09_3S_N_C_1	0	0.186386768	0	0	0.813613232
X13_10N_H_N_1	X09_3S_N_C_1	0	0.173091603	0.013740458	0.000954198	0.81221374
X13_6N_N_N_1	X09_3S_N_C_1	0	0.121246819	0	0.000763359	0.877989822
X13_16N_H_N_1	X09_3S_N_C_1	0	0.101335878	0	0	0.898664122
